step,tokens,train_loss,loss_copy1,loss_copy2,top_score,top5_mean,prev_top,prev_top5
0,0,nan,11.184379577636719,11.167442321777344,0.014667456969618797,0.014575893059372902,0.04656194895505905,0.0448962077498436
32,524288,10.6798,11.204554557800293,11.203539848327637,0.014632421545684338,0.014313047751784325,0.04686138778924942,0.04528749734163284
64,1048576,9.1629,11.961393356323242,11.937065124511719,0.014712224714457989,0.014336422085762024,0.04546733200550079,0.04490915685892105
128,2097152,6.0408,14.599161148071289,14.926105499267578,0.014891883358359337,0.014638980850577354,0.046560145914554596,0.04500855877995491
256,4194304,4.0532,16.499475479125977,16.726686477661133,0.015188410878181458,0.01470782607793808,0.049385376274585724,0.04863571748137474
384,6291456,3.5162,16.262718200683594,16.156169891357422,0.015710001811385155,0.014867876656353474,0.054481007158756256,0.05278144031763077
512,8388608,3.2196,15.697964668273926,15.792121887207031,0.01307344064116478,0.012845735065639019,0.10125894099473953,0.08627912402153015
768,12582912,2.8276,14.176620483398438,13.493269920349121,0.013086370192468166,0.012328138574957848,0.12662158906459808,0.12315072864294052
1024,16777216,2.6036,13.804698944091797,13.138213157653809,0.013980753719806671,0.012690638191998005,0.14606024324893951,0.13742023706436157
1536,25165824,2.3665,13.497220039367676,13.491142272949219,0.014799284748733044,0.012894883751869202,0.15711340308189392,0.14732101559638977
2048,33554432,2.2318,13.390281677246094,12.916059494018555,0.016462713479995728,0.014604190364480019,0.2187316119670868,0.1708984673023224
3072,50331648,2.077,13.630762100219727,12.867524147033691,0.01944650709629059,0.016273673623800278,0.2991716265678406,0.20189961791038513
4096,67108864,1.9939,12.18395709991455,12.009012222290039,0.01949189603328705,0.016257351264357567,0.3318464457988739,0.2187999039888382
6144,100663296,1.9026,12.167991638183594,11.815110206604004,0.019320890307426453,0.01635848730802536,0.3757447898387909,0.24002878367900848
8192,134217728,1.8529,12.410014152526855,12.083818435668945,0.01953224092721939,0.017488813027739525,0.4190543293952942,0.25113117694854736
12288,201326592,1.7792,13.430341720581055,12.854107856750488,0.020771075040102005,0.018396591767668724,0.5119029879570007,0.28507184982299805
16384,268435456,1.717,13.329994201660156,12.871437072753906,0.01901039108633995,0.01677207462489605,0.5666173696517944,0.3009350895881653
24576,402653184,1.6418,13.548348426818848,13.008827209472656,0.019785083830356598,0.017048507928848267,0.5781961679458618,0.3041468858718872
30000,491520000,1.6037,13.421125411987305,12.861910820007324,0.019373122602701187,0.017481843009591103,0.5650761127471924,0.30065083503723145
